Galaxy,in_out,Gal_type,Image_source,Pec,Bar,Type,disk,Core,core?,distance(Mpc),Err_dist Mpc,z,mass_BH,neg_err_mass_BH,pos_err_mass_BH,Log_Mass_BH,Log_neg_err_Mbh,Log_pos_err_Mbh,Avg_Log_err_Mbh,Reference_Mbh,Method_Mbh,Mag_apar_sph,Mag_apar_tot,Gulias_sph_mag_Vega,Gulias_sph_mag_AB,Mag_abso_sph_New,Gulias_tot_mag_Vega,Gulias_tot_mag_AB,Mag_abso_tot_New,Mass_Sph_ML_0.8_0.7_3.8,Log_Mass_Sph_ML_0.8_0.7_3.8,Mass_Gal_ML_0.8_0.7_3.8,Log_Mass_Gal_ML_0.8_0.7_3.8,Log_Mgal_var_ML,Log_Msph_var_ML,Sph_mass_new,Log_Sph_mass_new,Gal_mass_new,Log_Gal_mass_new,Grade,Dist_err_%,Dist_err_quad,M/L_err_%,M/L_err_quad,Dec_err_mag,Dec_err_quad,Err_Log_mass_sph_quad,Dist_err_for_mbh,Err_Log_Mbh_dex,Err_log_mass_gal_dex,COMMENTS,M_bulge/M_gal,Mbh/Msph,Mbh/Mgal,Log_Mbh_Msph_Ratio,Err_Log_Mbh_Msph_Ratio,Log_Mbh_Mgal_Ratio,Err_Log_Mbh_Mgal_Ratio
NGC 1300,i,LTG,,,,,,,,,,,,,,7.70738E+00,,,,,,,,,,,,,,,,,,,,,9.42473E+00,,1.02981E+01,,,,,,,,0.246372036,,1.63710E-01,1.70724E-01,,,,,-1.71734E+00,2.95804E-01,-2.59069E+00,0.236532126
NGC 1320,i,LTG,,,,,,,,,,,,,,6.78268E+00,,,,,,,,,,,,,,,,,,,,,1.02531E+01,,1.05805E+01,,,,,,,,0.400556246,,2.87779E-01,3.95141E-01,,,,,-3.47046E+00,4.93216E-01,-3.79784E+00,0.488828329
NGC 1398,i,LTG,,,,,,,,,,,,,,8.03309E+00,,,,,,,,,,,,,,,,,,,,,1.05720E+01,,1.12462E+01,,,,,,,,0.198537929,,1.14134E-01,1.76072E-01,,,,,-2.53886E+00,2.29006E-01,-3.21313E+00,0.209828119
NGC 2273,i,LTG,,,,,,,,,,,,,,6.96513E+00,,,,,,,,,,,,,,,,,,,,,9.98147E+00,,1.07716E+01,,,,,,,,0.201142722,,9.02225E-02,1.94950E-01,,,,,-3.01634E+00,2.20451E-01,-3.80642E+00,0.214815282
NGC 2960,i,LTG,,,,,,,,,,,,,,7.05779E+00,,,,,,,,,,,,,,,,,,,,,1.04413E+01,,1.08589E+01,,,,,,,,0.355913943,,1.65790E-01,3.37971E-01,,,,,-3.38355E+00,3.92633E-01,-3.80108E+00,0.376445053
NGC 2974,i,LTG,,,,,,,,,,,,,,8.23000E+00,,,,,,,,,,,,,,,,,,,,,1.02317E+01,,1.07295E+01,,,,,,,,0.133638406,,7.21858E-02,1.24972E-01,,,,,-2.00165E+00,1.51888E-01,-2.49945E+00,0.144321421
NGC 3031,i,LTG,,,,,,,,,,,,,,7.82714E+00,,,,,,,,,,,,,,,,,,,,,1.01629E+01,,1.06462E+01,,,,,,,,0.108196908,,8.95480E-02,8.18254E-02,,,,,-2.33571E+00,1.40447E-01,-2.81904E+00,0.121302271
NGC 3079,i,LTG,,,,,,,,,,,,,,6.37790E+00,,,,,,,,,,,,,,,,,,,,,9.91520E+00,,1.06815E+01,,,,,,,,0.246350533,,1.16277E-01,1.84401E-01,,,,,-3.53730E+00,2.72413E-01,-4.30355E+00,0.217999903
NGC 3227,i,LTG,,,,,,,,,,,,,,7.87954E+00,,,,,,,,,,,,,,,,,,,,,1.00372E+01,,1.08013E+01,,,,,,,,0.167149272,,1.35804E-01,1.44111E-01,,,,,-2.15767E+00,2.15364E-01,-2.92176E+00,0.198017083
NGC 3368,i,LTG,,,,,,,,,,,,,,6.88802E+00,,,,,,,,,,,,,,,,,,,,,9.80881E+00,,1.06876E+01,,,,,,,,0.100733369,,9.16511E-02,8.71904E-02,,,,,-2.92079E+00,1.36188E-01,-3.79956E+00,0.126499373
NGC 3393,i,LTG,,,,,,,,,,,,,,7.48851E+00,,,,,,,,,,,,,,,,,,,,,1.02299E+01,,1.10009E+01,,,,,,,,0.120022124,,5.24892E-02,1.00074E-01,,,,,-2.74143E+00,1.30998E-01,-3.51241E+00,0.113004017
NGC 3627,i,LTG,,,,,,,,,,,,,,6.95084E+00,,,,,,,,,,,,,,,,,,,,,9.73778E+00,,1.07763E+01,,,,,,,,0.195916219,,5.43268E-02,9.71355E-02,,,,,-2.78694E+00,2.03309E-01,-3.82543E+00,0.111295596
NGC 4151,i,LTG,,,,,,,,,,,,,,7.67895E+00,,,,,,,,,,,,,,,,,,,,,1.02743E+01,,1.06221E+01,,,,,,,,0.147222375,,3.66433E-01,1.39305E-01,,,,,-2.59539E+00,3.94902E-01,-2.94314E+00,0.392018828
NGC 4258,i,LTG,,,,,,,,,,,,,,7.60206E+00,,,,,,,,,,,,,,,,,,,,,1.00481E+01,,1.07239E+01,,,,,,,,0.181962144,,1.01059E-02,8.51609E-02,,,,,-2.44600E+00,1.82243E-01,-3.12183E+00,0.085758413
NGC 4303,i,LTG,,,,,,,,,,,,,,6.58240E+00,,,,,,,,,,,,,,,,,,,,,9.41780E+00,,1.04754E+01,,,,,,,,0.10263994,,1.66748E-01,8.98144E-02,,,,,-2.83539E+00,1.95806E-01,-3.89299E+00,0.189397815
NGC 4388,i,LTG,,,,,,,,,,,,,,6.89553E+00,,,,,,,,,,,,,,,,,,,,,1.00664E+01,,1.04398E+01,,,,,,,,0.218139312,,1.10379E-01,2.20502E-01,,,,,-3.17088E+00,2.44475E-01,-3.54428E+00,0.246586196
NGC 4501,i,LTG,,,,,,,,,,,,,,7.13111E+00,,,,,,,,,,,,,,,,,,,,,1.01120E+01,,1.06700E+01,,,,,,,,0.164741583,,8.00828E-02,8.17213E-02,,,,,-2.98085E+00,1.83175E-01,-3.53888E+00,0.114418673
