Galaxy,in_out,Gal_type,Image_source,Pec,Bar,Type,disk,Core,core?,distance(Mpc),Err_dist Mpc,z,mass_BH,neg_err_mass_BH,pos_err_mass_BH,Log_Mass_BH,Log_neg_err_Mbh,Log_pos_err_Mbh,Avg_Log_err_Mbh,Reference_Mbh,Method_Mbh,Mag_apar_sph,Mag_apar_tot,Gulias_sph_mag_Vega,Gulias_sph_mag_AB,Mag_abso_sph_New,Gulias_tot_mag_Vega,Gulias_tot_mag_AB,Mag_abso_tot_New,Mass_Sph_ML_0.8_0.7_3.8,Log_Mass_Sph_ML_0.8_0.7_3.8,Mass_Gal_ML_0.8_0.7_3.8,Log_Mass_Gal_ML_0.8_0.7_3.8,Log_Mgal_var_ML,Log_Msph_var_ML,Sph_mass_new,Log_Sph_mass_new,Gal_mass_new,Log_Gal_mass_new,Grade,Dist_err_%,Dist_err_quad,M/L_err_%,M/L_err_quad,Dec_err_mag,Dec_err_quad,Err_Log_mass_sph_quad,Dist_err_for_mbh,Err_Log_Mbh_dex,Err_log_mass_gal_dex,COMMENTS,M_bulge/M_gal,Mbh/Msph,Mbh/Mgal,Log_Mbh_Msph_Ratio,Err_Log_Mbh_Msph_Ratio,Log_Mbh_Mgal_Ratio,Err_Log_Mbh_Mgal_Ratio
n1399,i,ETG,-,pec,nb,E,E,yes,yes,19.4,,0.004361551,4.70000E+08,6.00000E+07,6.00000E+07,8.67210E+00,5.93140E-02,5.21780E-02,5.57460E-02,-,-,,,-2.64300E+01,-2.36700E+01,-2.36889E+01,-2.64600E+01,-2.37000E+01,-2.37189E+01,5.35375E+11,1.17287E+01,5.50375E+11,1.17407E+01,1.17243E+01,1.17123E+01,4.58893E+11,1.16617E+01,4.71750E+11,1.16737E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,6.34966E-02,1.20000E-01,,9.72747E-01,0.00088,0.00085,-2.98961E+00,1.35545E-01,-3.00161E+00,0.135763819
n2549,i,ETG,-,-,b,S0-bar,S,no,no,12.3,,0.002765313,1.40000E+07,1.30000E+07,2.00000E+06,7.14613E+00,1.14613E+00,5.79919E-02,6.02060E-01,-,-,,,-2.12500E+01,-1.84900E+01,-1.85020E+01,-2.26000E+01,-1.98400E+01,-1.98520E+01,4.50708E+09,9.65390E+00,1.56277E+10,1.01939E+01,1.01109E+01,9.57092E+00,3.86321E+09,9.58695E+00,1.33952E+10,1.01269E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,6.02827E-01,1.20000E-01,,2.88403E-01,0.00311,0.00090,-2.44082E+00,6.14606E-01,-2.98082E+00,0.614654724
n2778,i,ETG,-,-,b,S0-bar,S,no,no,22.3,,0.005013535,1.50000E+07,1.00000E+07,9.00000E+06,7.17609E+00,4.77121E-01,2.04120E-01,3.40621E-01,-,-,,,-2.08000E+01,-1.80400E+01,-1.80617E+01,-2.24400E+01,-1.96800E+01,-1.97017E+01,3.00459E+09,9.47779E+00,1.36077E+10,1.01338E+01,9.97853E+00,9.32253E+00,2.57537E+09,9.41084E+00,1.16638E+10,1.00668E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.41975E-01,1.20000E-01,,2.20800E-01,0.00499,0.00110,-2.23475E+00,4.27185E-01,-2.89075E+00,0.362417722
n3091,i,ETG,-,-,nb,E,E,yes,yes,51.2,,0.011510897,3.60000E+09,2.00000E+08,1.00000E+08,9.55630E+00,2.48236E-02,1.18992E-02,1.83614E-02,-,-,,,-2.62800E+01,-2.35200E+01,-2.35697E+01,-2.62800E+01,-2.35200E+01,-2.35697E+01,4.79712E+11,1.16810E+01,4.79712E+11,1.16810E+01,1.16242E+01,1.16242E+01,4.11181E+11,1.16140E+01,4.11181E+11,1.16140E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,3.55153E-02,1.20000E-01,,1.00000E+00,0.00750,0.00750,-2.05773E+00,1.24908E-01,-2.05773E+00,0.125145269
n3115,i,ETG,-,-,nb,E/S0,S,no,no,9.4,,0.002113329,8.80000E+08,2.70000E+08,1.00000E+09,8.94448E+00,1.59153E-01,3.29675E-01,2.44414E-01,-,-,,,-2.42200E+01,-2.14600E+01,-2.14692E+01,-2.44000E+01,-2.16400E+01,-2.16492E+01,6.93051E+10,1.08408E+01,8.18023E+10,1.09128E+01,1.08208E+01,1.07488E+01,5.94044E+10,1.07738E+01,7.01162E+10,1.08458E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,2.46297E-01,1.20000E-01,,8.47227E-01,0.01270,0.01076,-1.82934E+00,2.73867E-01,-1.90134E+00,0.273975189
n3245,i,ETG,-,-,b,S0-bar,S,no,no,20.3,,0.004563891,2.00000E+08,5.00000E+07,5.00000E+07,8.30103E+00,1.24939E-01,9.69100E-02,1.10924E-01,-,-,,,-2.24300E+01,-1.96700E+01,-1.96898E+01,-2.38800E+01,-2.11200E+01,-2.11398E+01,1.34589E+10,1.01290E+01,5.11692E+10,1.07090E+01,1.05773E+01,9.99733E+00,1.15362E+10,1.00621E+01,4.38593E+10,1.06421E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.15015E-01,1.20000E-01,,2.63027E-01,0.01486,0.00391,-1.76103E+00,1.66039E-01,-2.34103E+00,0.166217972
n3377,i,ETG,-,-,nb,E,E,no,no,10.9,,0.002450562,7.70000E+07,6.00000E+06,4.00000E+06,7.88649E+00,3.52324E-02,2.19943E-02,2.86133E-02,-,-,,,-2.34900E+01,-2.07300E+01,-2.07406E+01,-2.35700E+01,-2.08100E+01,-2.08206E+01,3.54283E+10,1.05493E+01,3.81373E+10,1.05813E+01,1.04252E+01,1.03932E+01,3.03671E+10,1.04824E+01,3.26891E+10,1.05144E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,4.17483E-02,1.20000E-01,,9.28966E-01,0.00217,0.00202,-2.59591E+00,2.59391E-01,-2.62791E+00,0.127054792
n3384,i,ETG,-,-,b,S0-bar,S,no,no,11.3,,0.002540491,1.70000E+07,2.00000E+06,1.00000E+06,7.23045E+00,5.43577E-02,2.48236E-02,3.95906E-02,-,-,,,-2.24300E+01,-1.96700E+01,-1.96810E+01,-2.37400E+01,-2.09800E+01,-2.09910E+01,1.33508E+10,1.01255E+01,4.46176E+10,1.06495E+01,1.05753E+01,1.00513E+01,1.14435E+10,1.00586E+01,3.82436E+10,1.05826E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,4.99161E-02,1.20000E-01,,2.99226E-01,0.00127,0.00038,-2.82811E+00,1.29739E-01,-3.35211E+00,0.129967745
n3414,i,ETG,-,pec,nb,E,E,no,no,24.5,,0.005508144,2.40000E+08,3.00000E+07,3.00000E+07,8.38021E+00,5.79919E-02,5.11525E-02,5.45722E-02,-,-,,,-2.43500E+01,-2.15900E+01,-2.16139E+01,-2.44200E+01,-2.16600E+01,-2.16839E+01,7.91845E+10,1.08986E+01,8.44579E+10,1.09266E+01,1.08321E+01,1.08041E+01,6.78725E+10,1.08317E+01,7.23925E+10,1.08597E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,6.24686E-02,1.20000E-01,,9.37562E-01,0.00303,0.00284,-2.45148E+00,1.35066E-01,-2.47948E+00,0.13528609
n3489,i,ETG,-,-,b,S0/Sp-bar,S,no,no,11.7,,0.00263042,5.80000E+06,8.00000E+05,8.00000E+05,6.76343E+00,6.44580E-02,5.61159E-02,6.02870E-02,-,-,,,-2.11300E+01,-1.83700E+01,-1.83814E+01,-2.30700E+01,-2.03100E+01,-2.03214E+01,4.03331E+09,9.60566E+00,2.40803E+10,1.03817E+01,1.02175E+01,9.44147E+00,3.45712E+09,9.53871E+00,2.06402E+10,1.03147E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,6.75183E-02,1.20000E-01,,1.67494E-01,0.00144,0.00024,-2.77529E+00,2.64763E-01,-3.55129E+00,0.137690653
n3585,i,ETG,-,-,nb,E,E,no,no,19.5,,0.004384033,3.10000E+08,6.00000E+07,1.40000E+08,8.49136E+00,9.34217E-02,1.61851E-01,1.27636E-01,-,-,,,-2.55200E+01,-2.27600E+01,-2.27790E+01,-2.55500E+01,-2.27900E+01,-2.28090E+01,2.31578E+11,1.13647E+01,2.38066E+11,1.13767E+01,1.13406E+01,1.13286E+01,1.98495E+11,1.12978E+01,2.04057E+11,1.13098E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.31207E-01,1.20000E-01,,9.72747E-01,0.00134,0.00130,-2.80639E+00,2.87673E-01,-2.81839E+00,0.177806665
n3607,i,ETG,-,-,nb,E,E,no,no,22.2,,0.004991053,1.30000E+08,5.00000E+07,5.00000E+07,8.11394E+00,2.10853E-01,1.41329E-01,1.76091E-01,-,-,,,-2.53600E+01,-2.26000E+01,-2.26216E+01,-2.54500E+01,-2.26900E+01,-2.27116E+01,2.00330E+11,1.13017E+01,2.17644E+11,1.13377E+01,1.12210E+01,1.11850E+01,1.71712E+11,1.12348E+01,1.86552E+11,1.12708E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.78696E-01,1.20000E-01,,9.20450E-01,0.00065,0.00060,-3.12086E+00,3.12206E-01,-3.15686E+00,0.215249457
n3608,i,ETG,-,-,nb,E,E,yes,yes,22.3,,0.005013535,2.00000E+08,6.00000E+07,1.10000E+08,8.30103E+00,1.54902E-01,1.90332E-01,1.72617E-01,-,-,,,-2.45000E+01,-2.17400E+01,-2.17617E+01,-2.45000E+01,-2.17400E+01,-2.17617E+01,9.07373E+10,1.09578E+01,9.07373E+10,1.09578E+01,1.07694E+01,1.07694E+01,7.77748E+10,1.08908E+01,7.77748E+10,1.08908E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.75273E-01,1.20000E-01,,1.00000E+00,0.00220,0.00220,-2.58981E+00,3.10260E-01,-2.58981E+00,0.212416494
n3842,i,ETG,-,-,nb,E,E,yes,yes,98.4,,0.022122504,9.70000E+09,2.60000E+09,3.00000E+09,9.98677E+00,1.35513E-01,1.17032E-01,1.26273E-01,-,-,,,-2.70000E+01,-2.42400E+01,-2.43350E+01,-2.70400E+01,-2.42800E+01,-2.43750E+01,9.70755E+11,1.19871E+01,1.00719E+12,1.20031E+01,1.18748E+01,1.18588E+01,8.32076E+11,1.19202E+01,8.63303E+11,1.19362E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.29881E-01,1.20000E-01,,9.63829E-01,0.00999,0.00963,-1.93339E+00,1.76662E-01,-1.94939E+00,0.176830395
n3998,i,ETG,-,-,b,S0-bar,S,no,no,13.7,,0.003080064,8.10000E+08,1.90000E+08,2.00000E+08,8.90849E+00,1.16093E-01,9.58364E-02,1.05965E-01,-,-,,,-2.23200E+01,-1.95600E+01,-1.95734E+01,-2.35300E+01,-2.07700E+01,-2.07834E+01,1.20904E+10,1.00824E+01,3.68502E+10,1.05664E+01,1.05211E+01,1.00371E+01,1.03632E+10,1.00155E+01,3.15859E+10,1.04995E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,1.10239E-01,1.20000E-01,,3.28095E-01,0.06700,0.02198,-1.10701E+00,3.49990E-01,-1.59101E+00,0.162950131
n4261,i,ETG,-,-,nb,E,E,yes,yes,30.8,,0.006924524,5.00000E+08,1.00000E+08,1.00000E+08,8.69897E+00,9.69100E-02,7.91812E-02,8.80456E-02,-,-,,,-2.57200E+01,-2.29600E+01,-2.29900E+01,-2.57600E+01,-2.30000E+01,-2.30300E+01,2.81246E+11,1.14491E+01,2.91800E+11,1.14651E+01,1.14291E+01,1.14131E+01,2.41068E+11,1.13821E+01,2.50115E+11,1.13981E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,9.31463E-02,1.20000E-01,,9.63829E-01,0.00178,0.00171,-2.68317E+00,2.72428E-01,-2.69917E+00,0.151908624
n4291,i,ETG,-,-,nb,E,E,yes,yes,25.5,,0.005732966,3.30000E+08,2.50000E+08,9.00000E+07,8.51851E+00,6.15424E-01,1.04735E-01,3.60080E-01,-,-,,,-2.40500E+01,-2.12900E+01,-2.13148E+01,-2.40500E+01,-2.12900E+01,-2.13148E+01,6.01214E+10,1.07790E+01,6.01214E+10,1.07790E+01,1.06857E+01,1.06857E+01,5.15326E+10,1.07121E+01,5.15326E+10,1.07121E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.61361E-01,1.20000E-01,,1.00000E+00,0.00549,0.00549,-2.19357E+00,4.42857E-01,-2.19357E+00,0.380764432
n4459,i,ETG,-,-,nb,S0,S,no,no,15.7,,0.003529709,6.80000E+07,1.30000E+07,1.30000E+07,7.83251E+00,9.21462E-02,7.59761E-02,8.40612E-02,-,-,,,-2.34800E+01,-2.07200E+01,-2.07353E+01,-2.40100E+01,-2.12500E+01,-2.12653E+01,3.52549E+10,1.05472E+01,5.74406E+10,1.07592E+01,1.07061E+01,1.04941E+01,3.02185E+10,1.04803E+01,4.92348E+10,1.06923E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,8.93895E-02,1.20000E-01,,6.13762E-01,0.00193,0.00118,-2.64776E+00,2.71166E-01,-2.85976E+00,0.149634477
n4473,i,ETG,-,-,nb,E,E,no,no,15.3,,0.00343978,1.20000E+08,9.00000E+07,4.00000E+07,8.07918E+00,6.02060E-01,1.24939E-01,3.63499E-01,-,-,,,-2.38800E+01,-2.11200E+01,-2.11349E+01,-2.41100E+01,-2.13500E+01,-2.13649E+01,5.09405E+10,1.07071E+01,6.29598E+10,1.07991E+01,1.07058E+01,1.06138E+01,4.36633E+10,1.06401E+01,5.39655E+10,1.07321E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.64768E-01,1.20000E-01,,8.09096E-01,0.00236,0.00191,-2.56094E+00,4.45642E-01,-2.65294E+00,0.38399998
n4564,i,ETG,-,-,nb,S0,S,no,no,14.6,,0.003282404,6.00000E+07,9.00000E+06,3.00000E+06,7.77815E+00,7.05811E-02,2.11893E-02,4.58852E-02,-,-,,,-2.23000E+01,-1.95400E+01,-1.95542E+01,-2.29900E+01,-2.02300E+01,-2.02442E+01,1.18793E+10,1.00748E+01,2.24280E+10,1.03508E+01,1.02687E+01,9.99268E+00,1.01823E+10,1.00078E+01,1.92240E+10,1.02838E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.50422E-02,1.20000E-01,,5.29663E-01,0.00505,0.00268,-2.22969E+00,1.31796E-01,-2.50569E+00,0.132021391
n4596,i,ETG,-,-,b,S0-bar,S,no,no,17,,0.003821977,7.90000E+07,3.30000E+07,3.80000E+07,7.89763E+00,2.34869E-01,1.70559E-01,2.02714E-01,-,-,,,-2.27300E+01,-1.99700E+01,-1.99866E+01,-2.41800E+01,-2.14200E+01,-2.14366E+01,1.76899E+10,1.02477E+01,6.72550E+10,1.08277E+01,1.07079E+01,1.01279E+01,1.51628E+10,1.01808E+01,5.76472E+10,1.07608E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,2.04981E-01,1.20000E-01,,2.63027E-01,0.00447,0.00117,-2.28315E+00,2.37398E-01,-2.86315E+00,0.237522987
n4697,i,ETG,-,-,nb,E,E,no,no,11.4,,0.002562973,1.80000E+08,1.00000E+07,2.00000E+07,8.25527E+00,2.48236E-02,4.57575E-02,3.52905E-02,-,-,,,-2.48200E+01,-2.20600E+01,-2.20711E+01,-2.49400E+01,-2.21800E+01,-2.21911E+01,1.20655E+11,1.10815E+01,1.34755E+11,1.11295E+01,1.09854E+01,1.09374E+01,1.03418E+11,1.10146E+01,1.15504E+11,1.10626E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,4.65792E-02,1.20000E-01,,8.95365E-01,0.00149,0.00134,-2.75933E+00,3.35425E-01,-2.80733E+00,0.128723033
n4889,i,ETG,-,-,nb,E,E,yes,yes,103.2,,0.023201651,2.10000E+10,1.60000E+10,1.60000E+10,1.03222E+01,6.23249E-01,2.45982E-01,4.34616E-01,-,-,,,-2.75400E+01,-2.47800E+01,-2.48796E+01,-2.75400E+01,-2.47800E+01,-2.48796E+01,1.60303E+12,1.22049E+01,1.60303E+12,1.22049E+01,1.21856E+01,1.21856E+01,1.37403E+12,1.21380E+01,1.37403E+12,1.21380E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,4.35678E-01,1.20000E-01,,1.00000E+00,0.01310,0.01310,-1.81578E+00,4.51836E-01,-1.81578E+00,0.451901696
n5077,i,ETG,-,-,nb,E,E,yes,yes,41.2,,0.009262675,7.40000E+08,3.00000E+08,4.70000E+08,8.86923E+00,2.25779E-01,2.13554E-01,2.19666E-01,-,-,,,-2.54500E+01,-2.26900E+01,-2.27300E+01,-2.54500E+01,-2.26900E+01,-2.27300E+01,2.21368E+11,1.13451E+01,2.21368E+11,1.13451E+01,1.13061E+01,1.13061E+01,1.89744E+11,1.12782E+01,1.89744E+11,1.12782E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,2.21760E-01,1.20000E-01,,1.00000E+00,0.00334,0.00334,-2.40894E+00,2.52028E-01,-2.40894E+00,0.252145794
n5128,o,ETG,-,pec*,nb,merger,S,no,no?,3.8,,0.000854324,4.50000E+07,1.00000E+07,1.70000E+07,7.65321E+00,1.09144E-01,1.39179E-01,1.24162E-01,-,-,,,-2.38900E+01,-2.11300E+01,-2.11337E+01,-2.49700E+01,-2.22100E+01,-2.22137E+01,5.08840E+10,1.07066E+01,1.37588E+11,1.11386E+01,1.10254E+01,1.05934E+01,4.36149E+10,1.06396E+01,1.17933E+11,1.10716E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,1.27829E-01,1.20000E-01,,3.69828E-01,0.00088,0.00033,-2.98642E+00,3.55923E-01,-3.41842E+00,0.175329277
n5576,i,ETG,-,-,nb,E,E,no,no,24.8,,0.005575591,1.60000E+08,4.00000E+07,3.00000E+07,8.20412E+00,1.24939E-01,7.46336E-02,9.97862E-02,-,-,,,-2.44400E+01,-2.16800E+01,-2.17041E+01,-2.44400E+01,-2.16800E+01,-2.17041E+01,8.60512E+10,1.09348E+01,8.60512E+10,1.09348E+01,1.08522E+01,1.08522E+01,7.37582E+10,1.08678E+01,7.37582E+10,1.08678E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.04314E-01,1.20000E-01,,1.00000E+00,0.00186,0.00186,-2.66369E+00,1.58814E-01,-2.66369E+00,0.159001505
n5846,i,ETG,-,-,nb,E,E,yes,yes,24.2,,0.005440697,1.10000E+09,1.00000E+08,1.00000E+08,9.04139E+00,4.13927E-02,3.77886E-02,3.95906E-02,-,-,,,-2.58100E+01,-2.30500E+01,-2.30736E+01,-2.58100E+01,-2.30500E+01,-2.30736E+01,3.03755E+11,1.14825E+01,3.03755E+11,1.14825E+01,1.14317E+01,1.14317E+01,2.60362E+11,1.14156E+01,2.60362E+11,1.14156E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,4.99161E-02,1.20000E-01,,1.00000E+00,0.00362,0.00362,-2.37418E+00,2.60830E-01,-2.37418E+00,0.129967745
n6251,i,ETG,-,-,nb,E,E,yes,yes?,104.6,,0.023516402,5.90000E+08,2.00000E+08,2.00000E+08,8.77085E+00,1.79787E-01,1.26775E-01,1.53281E-01,-,-,,,-2.67500E+01,-2.39900E+01,-2.40909E+01,-2.67500E+01,-2.39900E+01,-2.40909E+01,7.75313E+11,1.18895E+01,7.75313E+11,1.18895E+01,1.19716E+01,1.19716E+01,6.64554E+11,1.18225E+01,6.64554E+11,1.18225E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.56267E-01,1.20000E-01,,1.00000E+00,0.00076,0.00076,-3.05168E+00,1.96875E-01,-3.05168E+00,0.197026233
n7619,i,ETG,-,-,nb,E,E,yes,yes,51.5,,0.011578343,2.50000E+09,3.00000E+08,8.00000E+08,9.39794E+00,5.55173E-02,1.20574E-01,8.80456E-02,-,-,,,-2.63500E+01,-2.35900E+01,-2.36400E+01,-2.64100E+01,-2.36500E+01,-2.37000E+01,5.11795E+11,1.17091E+01,5.40874E+11,1.17331E+01,1.16843E+01,1.16603E+01,4.38682E+11,1.16421E+01,4.63606E+11,1.16661E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,9.31463E-02,1.20000E-01,,9.46237E-01,0.00488,0.00462,-2.24421E+00,2.72428E-01,-2.26821E+00,0.151908624
n7768,i,ETG,-,-,nb,E,E,yes,yes,112.8,,0.025359944,1.30000E+09,4.00000E+08,5.00000E+08,9.11394E+00,1.59701E-01,1.41329E-01,1.50515E-01,-,-,,,-2.69000E+01,-2.41400E+01,-2.42488E+01,-2.69000E+01,-2.41400E+01,-2.42488E+01,8.96610E+11,1.19526E+01,8.96610E+11,1.19526E+01,1.18711E+01,1.18711E+01,7.68523E+11,1.18857E+01,7.68523E+11,1.18857E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.53554E-01,1.20000E-01,,1.00000E+00,0.00145,0.00145,-2.77171E+00,2.98529E-01,-2.77171E+00,0.194881918
NGC 4526,i,ETG,SHA,-,nb,S0,S,no,,16.9,1.69,0.003799495,4.70000E+08,1.40000E+07,1.40000E+07,8.67210E+00,1.31330E-02,1.27475E-02,1.29403E-02,Gould(2013)-(Davis et.al 2013),Gas,9.88202E+00,9.01596E+00,,,-2.12739E+01,,,-2.21399E+01,5.78964E+10,1.07627E+01,1.28551E+11,1.11091E+01,1.10740E+01,1.07276E+01,4.96255E+10,1.06957E+01,1.10187E+11,1.10421E+01,Grade-2,10,0.086858896,15,0.065144172,0.6,0.24,0.263416459,0.043429448,4.53163E-02,1.20000E-01,,4.50377E-01,0.00812,0.00366,-2.02361E+00,2.67286E-01,-2.37003E+00,0.128271459
NGC 4371,i,ETG,S4G,-,b,SB(r)0,S,no,,16.9,1.481,0.003799495,7.00000E+06,1.10000E+06,1.30000E+06,6.84510E+00,7.42460E-02,7.39801E-02,7.41130E-02,Saglia et al.(2016)-(not found),?,1.18877E+01,1.01283E+01,,,-1.92682E+01,,,-2.10276E+01,9.12808E+09,9.96038E+00,4.61466E+10,1.06641E+01,1.05815E+01,9.87772E+00,7.82407E+09,9.89343E+00,3.95542E+10,1.05972E+01,Grade-2,8.76,0.076088393,15,0.065144172,0.6,0.24,0.260063851,0.038044197,8.33073E-02,1.20000E-01,,1.97806E-01,0.00077,0.00015,-3.04833E+00,2.73081E-01,-3.75209E+00,0.146082523
NGC 5018,i,ETG,S4G,-,nb,S0,S,no,,40.55,4.867,0.00911654,1.05000E+08,1.73000E+07,2.06000E+07,8.02119E+00,7.81897E-02,7.78003E-02,7.79950E-02,Saglia et al.(2016)-(not found),?,1.11053E+01,1.01682E+01,,,-2.19741E+01,,,-2.29112E+01,1.10338E+11,1.10427E+01,2.61556E+11,1.14176E+01,1.13400E+01,1.09652E+01,9.45754E+10,1.09758E+01,2.24191E+11,1.13506E+01,Grade-2,12,0.104230676,15,0.065144172,0.6,0.24,0.269643833,0.052115338,9.38042E-02,1.20000E-01,,4.21852E-01,0.00095,0.00040,-2.95459E+00,2.85494E-01,-3.32943E+00,0.152312941
NGC 6861,i,ETG,SHA,-,nb,ES,S,no,,27.3,4.5,0.006137646,2.00000E+09,2.00000E+08,2.00000E+08,9.30103E+00,4.57575E-02,4.13927E-02,4.35751E-02,Rusli et al. (2013),Stellar,1.03250E+01,1.01122E+01,,,-2.18824E+01,,,-2.20952E+01,1.01403E+11,1.10061E+01,1.23360E+11,1.10912E+01,1.11030E+01,1.10178E+01,8.69173E+10,1.09391E+01,1.05737E+11,1.10242E+01,Grade-2,16.45,0.142882885,15,0.065144172,0.6,0.24,0.28680879,0.071441442,8.36819E-02,1.20000E-01,,8.22015E-01,0.01972,0.01621,-1.63808E+00,2.98767E-01,-1.72320E+00,0.146296507
NGC1275,i,ETG,SHA,pec,nb,ES/E,E,no,,72.9,,0.016389538,8.00000E+08,2.00000E+08,7.00000E+08,8.90309E+00,1.24939E-01,2.73001E-01,1.98970E-01,J.Scharwachter et.al(2013) and dist from NASA NED,Gas,1.02384E+01,1.01549E+01,,,-2.41458E+01,,,-2.42293E+01,8.15519E+11,1.19114E+01,8.80712E+11,1.19448E+01,1.20063E+01,1.19729E+01,6.99016E+11,1.18445E+01,7.54896E+11,1.18779E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,2.01279E-01,1.20000E-01,,9.25977E-01,0.00098,0.00091,-2.94140E+00,3.25659E-01,-2.97480E+00,0.234335785
NGC 1194,i,ETG,SHA,-,nb,S0,S,no,,53.2,3.7,0.011960541,6.50000E+07,3.00000E+06,3.00000E+06,7.81291E+00,2.05217E-02,1.95956E-02,2.00586E-02,Kuo et al.(2011) (Sigma from Greene et.al.2010),Stellar,1.23748E+01,1.18079E+01,,,-2.13064E+01,,,-2.18733E+01,5.96562E+10,1.07757E+01,1.00558E+11,1.10024E+01,1.09270E+01,1.07002E+01,5.11339E+10,1.07087E+01,8.61924E+10,1.09355E+01,Grade-3,6.96,0.060453792,15,0.065144172,0.8,0.32,0.332112066,0.030226896,3.62769E-02,1.20000E-01,,5.93253E-01,0.00109,0.00065,-2.89580E+00,3.34087E-01,-3.12256E+00,0.125363524
IC4296,i,ETG,SHA,-,nb,E1,E,no,,40.7,2.9,0.009150264,1.10000E+09,2.00000E+08,2.00000E+08,9.04139E+00,8.71502E-02,7.25507E-02,7.98504E-02,Graham & Scott (2013)-(Dalla Bonta et al. 2009),Gas,9.87015E+00,9.82831E+00,,,-2.32174E+01,,,-2.32592E+01,3.46778E+11,1.15401E+01,3.60401E+11,1.15568E+01,1.15175E+01,1.15007E+01,2.97238E+11,1.14731E+01,3.08915E+11,1.14898E+01,Grade-2,7.12,0.061843534,15,0.065144172,0.6,0.24,0.256258436,0.030921767,8.56285E-02,1.20000E-01,,9.62200E-01,0.00317,0.00305,-2.43171E+00,2.70186E-01,-2.44845E+00,0.147418606
n404,o,ETG,SHA,-,nb,S0,S,no,,3.06,0.37,0.000687956,7.00000E+04,2.00000E+04,1.50000E+04,4.84510E+00,1.46128E-01,8.43209E-02,1.15224E-01,Nguyen et al. (2017),Stellar,1.29985E+01,1.00988E+01,,,-1.44331E+01,,,-1.73328E+01,1.06252E+08,8.02634E+00,1.53539E+09,9.18622E+00,9.11927E+00,7.95939E+00,9.10729E+07,7.95939E+00,1.31605E+09,9.11927E+00,Grade-2,12.09,0.105012406,15,0.065144172,0.6,0.24,0.269946974,0.052506203,1.26624E-01,1.20000E-01,,6.92019E-02,0.00066,0.00005,-3.11429E+00,2.98169E-01,-4.27417E+00,0.174452222
